observation_type,id,num_observed,survey_area,point_x,point_y,kafue_national_park_centroid,kidepo_valley_national_park_centroid,south_luangwa_national_park_centroid,north_luangwa_national_park_centroid,lukusuzi_national_park_centroid,survey_id
Human Presence,211,1,Luangwa,14.834945,9.678679,,,,,,14
Human Presence,212,1,Luangwa,14.830573,9.678719,,,,,,14
Human Presence,213,1,Luangwa,14.828099,9.678705,,,,,,14
Human Presence,214,1,Luangwa,14.826744,9.678759,,,,,,14
Human Presence,215,1,Luangwa,14.825292,9.678718,,,,,,14
Human Presence,216,1,Luangwa,14.8214,9.67871,,,,,,14
Human Presence,217,1,Luangwa,14.820631,9.67871,,,,,,14
Human Presence,218,1,Luangwa,14.817687,9.678689,,,,,,14
Human Presence,219,1,Luangwa,14.814916,9.678743,,,,,,14
Human Presence,220,1,Luangwa,14.809698,9.678746,,,,,,14
Human Presence,221,1,Luangwa,14.804697,9.678629,,,,,,14
Human Presence,222,1,Luangwa,14.802947,9.678669,,,,,,14
Human Presence,223,1,Luangwa,14.79748,9.678785,,,,,,14
Human Presence,224,1,Luangwa,14.787798,9.678641,,,,,,14
Human Presence,225,1,Luangwa,14.783362,9.67873,,,,,,14
Human Presence,226,1,Luangwa,14.781162,9.678906,,,,,,14
Human Presence,227,1,Luangwa,14.778429,9.678797,,,,,,14
Human Presence,228,1,Luangwa,14.776594,9.684635,,,,,,14
Human Presence,229,1,Luangwa,14.783096,9.68477,,,,,,14
Human Presence,230,1,Luangwa,14.791557,9.684635,,,,,,14
Human Presence,231,1,Luangwa,14.797196,9.684658,,,,,,14
Human Presence,232,1,Luangwa,14.798636,9.684651,,,,,,14
Human Presence,233,1,Luangwa,14.802299,9.684689,,,,,,14
Human Presence,234,1,Luangwa,14.803427,9.684678,,,,,,14
Human Presence,235,1,Luangwa,14.804593,9.684666,,,,,,14
Human Presence,236,1,Luangwa,14.809627,9.684709,,,,,,14
Human Presence,237,1,Luangwa,14.813694,9.684678,,,,,,14
Human Presence,238,1,Luangwa,14.816589,9.684665,,,,,,14
Human Presence,239,1,Luangwa,14.818185,9.684683,,,,,,14
Human Presence,240,1,Luangwa,14.822744,9.684702,,,,,,14
Human Presence,241,1,Luangwa,14.809874,9.690726,,,,,,14
Human Presence,242,1,Luangwa,14.803201,9.690815,,,,,,14
Human Presence,243,1,Luangwa,14.801932,9.690845,,,,,,14
Human Presence,244,1,Luangwa,14.799419,9.690764,,,,,,14
Human Presence,245,1,Luangwa,14.793406,9.690757,,,,,,14
Human Presence,246,1,Luangwa,14.792005,9.690744,,,,,,14
Human Presence,247,1,Luangwa,14.789857,9.690685,,,,,,14
Human Presence,248,1,Luangwa,14.788517,9.69067,,,,,,14
Human Presence,249,1,Luangwa,14.783971,9.690808,,,,,,14
Human Presence,250,1,Luangwa,14.777394,9.690605,,,,,,14
Human Presence,251,1,Luangwa,14.776554,9.690631,,,,,,14
Human Presence,252,1,Luangwa,14.774106,9.690726,,,,,,14
Human Presence,253,1,Luangwa,14.769787,9.69069,,,,,,14
Human Presence,254,1,Luangwa,14.765536,9.690736,,,,,,14
Human Presence,255,1,Luangwa,14.763837,9.690702,,,,,,14
Human Presence,256,1,Luangwa,14.758069,9.690815,,,,,,14
Human Presence,257,1,Luangwa,14.753643,9.696654,,,,,,14
Human Presence,258,1,Luangwa,14.759545,9.696603,,,,,,14
Human Presence,259,1,Luangwa,14.760813,9.696631,,,,,,14
Human Presence,260,1,Luangwa,14.76641,9.696714,,,,,,14
Human Presence,261,1,Luangwa,14.767705,9.696722,,,,,,14
Human Presence,262,1,Luangwa,14.7727,9.696692,,,,,,14
Human Presence,263,1,Luangwa,14.779007,9.696626,,,,,,14
Human Presence,264,1,Luangwa,14.781143,9.69669,,,,,,14
Human Presence,265,1,Luangwa,14.782589,9.696709,,,,,,14
Human Presence,266,1,Luangwa,14.784191,9.696686,,,,,,14
Human Presence,267,1,Luangwa,14.786519,9.69665,,,,,,14
Human Presence,268,1,Luangwa,14.790587,9.696347,,,,,,14
Human Presence,269,1,Luangwa,14.793797,9.696416,,,,,,14
Human Presence,270,1,Luangwa,14.797125,9.696498,,,,,,14
Human Presence,271,1,Luangwa,14.800837,9.696625,,,,,,14
Human Presence,272,1,Luangwa,14.80216,9.696648,,,,,,14
Human Presence,273,1,Luangwa,14.804278,9.696565,,,,,,14
Human Presence,274,1,Luangwa,14.79275,9.70275,,,,,,14
Human Presence,275,1,Luangwa,14.789458,9.702777,,,,,,14
Human Presence,276,1,Luangwa,14.786914,9.70263,,,,,,14
Human Presence,277,1,Luangwa,14.785201,9.70263,,,,,,14
Human Presence,278,1,Luangwa,14.781879,9.702703,,,,,,14
Human Presence,279,1,Luangwa,14.776838,9.702607,,,,,,14
Human Presence,280,1,Luangwa,14.775216,9.702628,,,,,,14
Human Presence,281,1,Luangwa,14.773707,9.70269,,,,,,14
Human Presence,282,1,Luangwa,14.764806,9.70267,,,,,,14
Human Presence,283,1,Luangwa,14.763581,9.702668,,,,,,14
Human Presence,284,1,Luangwa,14.761863,9.702636,,,,,,14
Human Presence,285,1,Luangwa,14.754999,9.702581,,,,,,14
Human Presence,286,1,Luangwa,14.757581,9.708575,,,,,,14
Human Presence,287,1,Luangwa,14.760955,9.708656,,,,,,14
Human Presence,288,1,Luangwa,14.771148,9.7086,,,,,,14
Human Presence,289,1,Luangwa,14.777444,9.708637,,,,,,14
Human Presence,290,1,Luangwa,14.765031,9.714747,,,,,,14
Human Presence,291,1,Luangwa,14.750232,9.732646,,,,,,14
Human Presence,292,1,Luangwa,14.749452,9.738788,,,,,,14
Human Presence,293,1,Luangwa,14.750239,9.744699,,,,,,14
Human Presence,294,1,Luangwa,14.73339,9.762733,,,,,,14
Human Presence,295,1,Luangwa,14.720299,9.762669,,,,,,14
Human Presence,296,1,Luangwa,14.687672,9.762734,,,,,,14
Human Presence,297,1,Luangwa,14.685777,9.762707,,,,,,14
Human Presence,298,1,Luangwa,14.684044,9.762681,,,,,,14
Human Presence,299,1,Luangwa,14.667379,9.762686,,,,,,14
Human Presence,300,1,Luangwa,14.664446,9.765177,,,,,,14
Human Presence,301,1,Luangwa,14.686925,9.768707,,,,,,14
Human Presence,302,1,Luangwa,14.689435,9.76891,,,,,,14
Human Presence,303,1,Luangwa,14.695461,9.768592,,,,,,14
Human Presence,304,1,Luangwa,14.698783,9.768731,,,,,,14
Human Presence,305,1,Luangwa,14.704113,9.768652,,,,,,14
Human Presence,306,1,Luangwa,14.718491,9.768761,,,,,,14
Human Presence,307,1,Luangwa,14.720116,9.768642,,,,,,14
Human Presence,308,1,Luangwa,14.721651,9.768636,,,,,,14
Human Presence,309,1,Luangwa,14.725463,9.76867,,,,,,14
Human Presence,310,1,Luangwa,14.726557,9.76865,,,,,,14
Human Presence,311,1,Luangwa,14.728512,9.768648,,,,,,14
Human Presence,312,1,Luangwa,14.730711,9.774579,,,,,,14
Human Presence,313,1,Luangwa,14.72657,9.774896,,,,,,14
Human Presence,314,1,Luangwa,14.724815,9.774889,,,,,,14
Human Presence,315,1,Luangwa,14.72251,9.774788,,,,,,14
Human Presence,316,1,Luangwa,14.720856,9.774725,,,,,,14
Human Presence,317,1,Luangwa,14.719588,9.774662,,,,,,14
Human Presence,318,1,Luangwa,14.718398,9.774603,,,,,,14
Human Presence,319,1,Luangwa,14.716813,9.774603,,,,,,14
Human Presence,320,1,Luangwa,14.714532,9.774658,,,,,,14
Human Presence,321,1,Luangwa,14.711682,9.774638,,,,,,14
Human Presence,322,1,Luangwa,14.709282,9.774692,,,,,,14
Human Presence,323,1,Luangwa,14.706174,9.77467,,,,,,14
Human Presence,324,1,Luangwa,14.70251,9.77467,,,,,,14
Human Presence,325,1,Luangwa,14.698966,9.774664,,,,,,14
Human Presence,326,1,Luangwa,14.697126,9.774653,,,,,,14
Human Presence,327,1,Luangwa,14.694401,9.774532,,,,,,14
Human Presence,328,1,Luangwa,14.688948,9.774746,,,,,,14
Human Presence,329,1,Luangwa,14.685522,9.7748,,,,,,14
Human Presence,330,1,Luangwa,14.68442,9.774784,,,,,,14
Human Presence,331,1,Luangwa,14.683555,9.774752,,,,,,14
Human Presence,332,1,Luangwa,14.684138,9.780612,,,,,,14
Human Presence,333,1,Luangwa,14.688435,9.780654,,,,,,14
Human Presence,334,1,Luangwa,14.690168,9.780685,,,,,,14
Human Presence,335,1,Luangwa,14.692029,9.7807,,,,,,14
Human Presence,336,1,Luangwa,14.694465,9.780656,,,,,,14
Human Presence,337,1,Luangwa,14.708262,9.780615,,,,,,14
Human Presence,338,1,Luangwa,14.712586,9.780743,,,,,,14
Human Presence,339,1,Luangwa,14.718625,9.780737,,,,,,14
Human Presence,340,1,Luangwa,14.720616,9.780711,,,,,,14
Human Presence,341,1,Luangwa,14.723929,9.780655,,,,,,14
Human Presence,342,1,Luangwa,14.727797,9.780597,,,,,,14
Human Presence,343,1,Luangwa,14.720036,9.786533,,,,,,14
Human Presence,344,1,Luangwa,14.714444,9.786627,,,,,,14
Human Presence,345,1,Luangwa,14.713505,9.78663,,,,,,14
Human Presence,346,1,Luangwa,14.698782,9.786695,,,,,,14
Human Presence,347,1,Luangwa,14.6718,9.786599,,,,,,14
Human Presence,348,1,Luangwa,14.668579,9.786608,,,,,,14
Human Presence,349,1,Luangwa,14.673779,9.791894,,,,,,14
Human Presence,350,1,Luangwa,14.70209,9.792673,,,,,,14
Human Presence,351,1,Luangwa,14.703367,9.792704,,,,,,14
Human Presence,352,1,Luangwa,14.706344,9.79268,,,,,,14
Human Presence,353,1,Luangwa,14.708878,9.798882,,,,,,14
Human Presence,354,1,Luangwa,14.70767,9.798705,,,,,,14
Human Presence,355,1,Luangwa,14.686715,9.798687,,,,,,14
